"","term","estimate","std.error","statistic","p.value"
"1","(Intercept)",7.7260660737881,0.440775063631688,17.5283647176647,5.01567376286014e-48
"2","DxSchizo",0.118788511722516,0.0262061787300825,4.53284368339276,8.37799840364412e-06
"3","Age",0.00267407480004971,0.000900120691286388,2.97079583430986,0.00320719882568544
"4","SexM",0.0316036719092936,0.02468478393049,1.28028959047349,0.201419337517291
"5","mitoRate",0.287438105229461,0.664313529470404,0.432684406500962,0.665550852240822
"6","rRNA_rate",-742.885919996201,603.023130611856,-1.2319360274662,0.218925014676644
"7","totalAssignedGene",-0.352700684076958,1.00138417976732,-0.352213157750216,0.724922451323952
"8","RIN",-0.0509765399326336,0.0201135283058993,-2.53444046004013,0.01176436258904
"9","snpPC1",-0.471190395783176,0.261174308568225,-1.80412230577454,0.0722018509276382
"10","snpPC2",1.50776498357593,2.41981985952119,0.62308976333233,0.533692696997867
"11","snpPC3",1.16474138578623,1.48795102384888,0.782782072203827,0.43436443960256
"12","snpPC4",5.05251310051878,7.243481565121,0.697525500009246,0.486007102948947
"13","snpPC5",6.4638388936342,3.8099193411332,1.69658155852497,0.0907994143370009
"14","PC1",0.00371153154038817,0.00222045694577572,1.67151700349296,0.095648588362158
"15","PC2",-0.0370726415692553,0.00232364409075539,-15.9545266492182,4.70792195345781e-42
"16","PC3",0.0116110628395184,0.00287849870742504,4.03372174862121,6.94974020459526e-05
"17","PC4",0.0161288432534255,0.00379434588746436,4.25075724032209,2.83760651197493e-05
"18","PC5",0.0330705795781401,0.00532913079860668,6.20562354873828,1.78085701371954e-09
"19","PC6",0.0188474950130315,0.00553643126807631,3.4042678578362,0.000752464466364319
"20","PC7",-0.0367662358692128,0.00518066887910623,-7.09681254046017,9.03507892014248e-12
"21","PC8",0.050239207944532,0.00656826569848614,7.64877826975106,2.69399363606371e-13
"22","PC9",-0.111368966300948,0.00605864750914595,-18.3818197267341,2.88974362741576e-51
"23","PC10",0.0344935129980399,0.00854126247134581,4.03845603782329,6.81800657128004e-05
"24","PC11",-0.000835913856569968,0.00855996201122469,-0.0976539212993975,0.922271458781738
"25","PC12",0.036927366983718,0.00889294298105775,4.15243492085516,4.27768761381483e-05
"26","PC13",0.0419115735306262,0.00828007015475392,5.06174135572548,7.20890821096332e-07
"27","PC14",-0.0199284698012247,0.00869198239494501,-2.2927416204633,0.0225455997770321
"28","PC15",0.0074453500068997,0.0084873206696056,0.87723208498091,0.381053305539408
"29","PC16",0.0192481962907061,0.00972447428016641,1.97935597711064,0.0486778386950265
